pos:   0 || len: 5 || *:   7 => b'\xeb\xeb\xeb\xeb\xeb\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
pos:   0 || len: 6 || *:   7 => b'\xeb\xeb\xeb\xeb\xeb\xeb\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
pos:   0 || len: 7 || *:   7 => b'\xeb\xeb\xeb\xeb\xeb\xeb\xeb\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
pos:   0 || len: 8 || *:   7 => JUMP
pos:   0 || len: 0 || *:   8 => 0x00
pos:   0 || len: 1 || *:   8 => b'\xeb\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
pos:   0 || len: 2 || *:   8 => b'\xeb\xeb\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
pos:   0 || len: 3 || *:   8 => b'\xeb\xeb\xeb\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
pos:   0 || len: 4 || *:   8 => b'\xeb\xeb\xeb\xeb\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
pos:   0 || len: 5 || *:   8 => b'\xeb\xeb\xeb\xeb\xeb\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
pos:   0 || len: 6 || *:   8 => b'\xeb\xeb\xeb\xeb\xeb\xeb\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
pos:   0 || len: 7 || *:   8 => b'\xeb\xeb\xeb\xeb\xeb\xeb\xeb\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
pos:   0 || len: 8 || *:   8 => b'\xeb\xeb\xeb\xeb\xeb\xeb\xeb\xeb\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
pos:   0 || len: 0 || *:   9 => 0x00
pos:   0 || len: 1 || *:   9 => b'\xeb\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
pos:   0 || len: 2 || *:   9 => b'\xeb\xeb\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
pos:   0 || len: 3 || *:   9 => b'\xeb\xeb\xeb\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
pos:   0 || len: 4 || *:   9 => b'\xeb\xeb\xeb\xeb\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
pos:   0 || len: 5 || *:   9 => b'\xeb\xeb\xeb\xeb\xeb\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
pos:   0 || len: 6 || *:   9 => b'\xeb\xeb\xeb\xeb\xeb\xeb\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
pos:   0 || len: 7 || *:   9 => b'\xeb\xeb\xeb\xeb\xeb\xeb\xeb\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
pos:   0 || len: 8 || *:   9 => b'\xeb\xeb\xeb\xeb\xeb\xeb\xeb\xeb\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
pos:   0 || len: 0 || *:  10 => 0x00
pos:   0 || len: 1 || *:  10 => b'\xeb\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
pos:   0 || len: 2 || *:  10 => b'\xeb\xeb\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
pos:   0 || len: 3 || *:  10 => b'\xeb\xeb\xeb\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
pos:   0 || len: 4 || *:  10 => b'\xeb\xeb\xeb\xeb\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
pos:   0 || len: 5 || *:  10 => b'\xeb\xeb\xeb\xeb\xeb\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
pos:   0 || len: 6 || *:  10 => b'\xeb\xeb\xeb\xeb\xeb\xeb\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
pos:   0 || len: 7 || *:  10 => b'\xeb\xeb\xeb\xeb\xeb\xeb\xeb\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
pos:   0 || len: 8 || *:  10 => b'\xeb\xeb\xeb\xeb\xeb\xeb\xeb\xeb\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
pos:   0 || len: 0 || *:  11 => 0x00
